Country,Country_Code,Population
Togo,TGO,6745581
Thailand,THA,67164130
Tajikistan,TJK,7930929
Turkmenistan,TKM,5172941
Timor-Leste,TLS,1148958
Tonga,TON,104769
Trinidad and Tobago,TTO,1341579
Tunisia,TUN,10777500
Turkey,TUR,74099255
Tuvalu,TUV,9860
Tanzania,TZA,48645709
Uganda,UGA,35400620
Ukraine,UKR,45593300
Upper middle income,UMC,2323722012
Uruguay,URY,3396753
United States,USA,314112078
Uzbekistan,UZB,29774500
St. Vincent and the Grenadines,VCT,109334
"Venezuela, RB",VEN,29854238
Virgin Islands (U.S.),VIR,105275
Vietnam,VNM,88772900
Vanuatu,VUT,247498
West Bank and Gaza,PSE,4046901
World,WLD,7089269165
Samoa,WSM,188901
"Yemen, Rep.",YEM,24882792
South Africa,ZAF,52341695
"Congo, Dem. Rep.",COD,70291160
Zambia,ZMB,14786581
Zimbabwe,ZWE,14565482
